/wiki/Transcript:The_Boy_in_the_Iceberg
Katara,"Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world."
Sokka,"It's not getting away from me this time.  Watch and learn, Katara. This is how you catch a fish."
Katara,"Sokka, look!"
Sokka,"Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'."
Katara,"But, Sokka! I caught one!"
Katara,Hey!
Sokka,"Why is it that every time you play with magic water, I get soaked?"
Katara,"It's not magic, it's waterbending! And it's ..."
Sokka,"Yeah, yeah, an ancient art unique to our culture, blah, blah, blah. Look, I'm just saying  that if I had weird powers, I'd keep my weirdness to myself."
Katara,You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!
Katara,Watch out! Go left! Go left!
Katara,You call that left?
Sokka,"You don't like my steering? Well, maybe you should've  waterbended us out of the ice."
Katara,So it's my fault?
Sokka,I knew I should've left you home!  Leave it to a girl to screw things up!
Katara,"You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!"
Katara,"Ever since mom died,  I've been doing all the work around camp while you've been off playing soldier!"
Sokka,Uh ... Katara ...
Katara,"I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!"
Sokka,"Katara, settle down!"
Katara,"No that's it! I'm done helping you! From now on, you're on your own!"
Sokka,"Okay, you've gone from weird to freakish,  Katara."
Katara,You mean I did that?
Sokka,Yep.  Congratulations.
Katara,He's alive! We have to help!
Sokka,"Katara, get back here!  We don't know what that thing is!"
Zuko,"Finally!  Uncle, do you realize what this means?!"
Iroh,I won't get to finish my game?
Zuko,It means my search is about to come to an end.
Zuko,That light came from an incredibly powerful source!  It has to be him!
Iroh,"Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?"
Zuko,"I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!"
Sokka,Stop!
Katara,Stop it!
Aang,I need to ask you something ...
Katara,What?
Aang,Please ... come closer.
Katara,What is it?
Aang,Will you go penguin sledding with me?
Katara,"Uh, sure ... I-I guess."
Aang,What's going on here?
Sokka,You tell us!  How did you get in the ice? And why aren't you frozen?
Aang,I'm ... not sure.
Aang,"Appa! Are you all right?  Wake up, buddy."
Aang,"Ha, ha! You're okay!"
Sokka,What is that thing?
Aang,"This is Appa, my flying bison."
Sokka,"Right, and this is Katara, my flying sister."
Aang,"Don't worry, it'll wash out.  So do you guys live around here?"
Sokka,Don't answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!
Katara,"Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that evil look in his eye.  The paranoid one is my brother, Sokka. You never told us your name."
Aang,I'm A ... a-a-a-Achoo!  I'm Aang.
Sokka,You just sneezed ...  and flew ten feet in the air!
Aang,Really? It felt higher than that.
Katara,You're an airbender!
Aang,Sure am!
Sokka,"Giant light beams, flying bison, airbenders ...  I think I got midnight sun madness. I'm going home to where stuff makes sense."
Aang,"Well, if you guys are stuck, Appa and I can give you a lift."
Katara,We'd love a ride! Thanks!
Sokka,Oh no! I'm not getting on that fluffy snot monster!
Katara,"Are you hoping some other kind of monster will come along and give you a ride home? You know, before you freeze to death?"
Aang,"Okay, first time flyers, hold on tight! Appa, yip-yip!"
Aang,"Come on, Appa. Yip-yip!"
Sokka,"Wow, that was truly amazing ..."
Aang,Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see.
Katara,Why are you smiling at me like that?
Aang,"Oh, I was smiling?"
Iroh,"I'm going to bed now.  Yep, a man needs his rest.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed."
Zuko,Because their honor didn't hinge on the Avatar's capture. Mine does. This coward's hundred years in hiding are over.
Katara,Hey.
Aang,Hey. What'cha thinkin' about?
Katara,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?"
Aang,"Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry."
Katara,Okay. Just curious.  Good night.
Aang,Sleep tight.
Katara,"Aang? Aang! Wake up.  It's okay, we're in the village now! Come on, get ready.  Everyone's waiting to meet you."
Katara,"Aang, this is the entire village.  Entire village, Aang."
Aang,"Uh, why are they all looking at me like that? Did Appa sneeze on me?"
Kanna,"Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you."
Aang,Extinct?
Katara,"Aang, this is my grandmother."
Kanna,Call me Gran-Gran.
Sokka,"What is this, a weapon? You can't stab anything with this!"
Aang,It's not for stabbing! It's for airbending.
Village girl,Magic trick! Do it again!
Aang,"Not magic, airbending.  It lets me control the air currents around my glider and fly."
Sokka,"Ya know, last time I checked, humans can't fly!"
Aang,Check again!
Village girl,He's flying!
Village girl,It's amazing!
Sokka,My watchtower!
Katara,That was amazing!
Sokka,"Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long."
Aang,You're a waterbender?
Katara,"Well, sort of. Not yet."
Kanna,"All right, no more playing. Come on, Katara, you have chores."
Katara,"I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!"
Kanna,"Katara, try not to put all your hopes in this boy."
Katara,But he's special! I can tell!  I sense he's filled with much wisdom.
Aang,See? Now my tongue is stuck to my staff!
Iroh,Again.
Iroh,"No!  Power in firebending comes from the breath , not the muscles.  The breath becomes energy in the body. The energy extends past your limbs and becomes: fire!  Get it right this time."
Zuko,Enough! I've been drilling this sequence all day. Teach me the next set! I'm more than ready!
Iroh,"No, you are impatient.  You have yet to master your basics.  Drill it again!"
Zuko,The sages tell us that the Avatar is the last airbender.  He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him.  You will teach me the advanced set!
Iroh,"Very well,  but first, I must finish my roast duck."
Sokka,"Now men, it's important that you show no fear when you face a firebender.  In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men?"
Southern Water Tribe boy,I gotta pee!
Sokka,"Listen! Until your fathers return from the War, they're counting on you to be the men of this tribe, and that means no potty breaks!"
Southern Water Tribe boy,But I really gotta go!
Sokka,"Okay, who else has to go?"
Katara,Have you seen Aang? Gran-Gran said he disappeared over an hour ago.
Aang,Wow! Everything freezes in there!
Sokka,"Uh!  Katara, get him out of here! This lesson is for warriors only!"
Village boy,Whee!
Sokka,Stop! Stop it right now!  What's wrong with you?! We don't have time for fun and games with the War going on!
Aang,What war? What are you talking about?
Sokka,"You're kidding, right?"
Aang,Penguin!
Sokka,"He's kidding, right?"
Katara,Aang?
Aang,"Hey, come on little guy. Wanna go sledding?  Heh heh. I have a way with animals."
Katara,"Hehehe, Aang, I'll help you catch a penguin if you teach me waterbending."
Aang,"You got a deal! Just one little problem ...  I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?"
Katara,No. You're looking at the only waterbender in the whole South Pole.
Aang,"This isn't right. A waterbender needs to master water.  What about the North Pole? There's another Water Tribe up there, right? Maybe they have waterbenders who could teach you."
Katara,"Maybe, but we haven't had contact with our sister tribe in a long time. It's not exactly turn right at the second glacier. It's on the other side of the world."
Aang,"But you forget, I have a flying bison.  Appa and I can personally fly you to the North Pole. Katara, we're going to find you a master!"
Katara,"That's ... I mean, I don't know. I've never left home before."
Aang,"Well, you think about it, but in the meantime, can you teach me catch one of these penguins?"
Katara,"Okay, listen closely my young pupil.  Catching penguins is an ancient and sacred art.  Observe!"
Aang,"Hi hi hi! Ha, ha, ha!"
Katara,I haven't done this since I was a kid!
Aang,You still are a kid!
Aang,Whoa! What is that?
Katara,"A Fire Navy ship. And a very bad memory for my people.  Aang, stop! We're not allowed to go near it! The ship could be booby-trapped!"
Aang,"If you want to be a bender, you have to let go of fear."
Katara,This ship has haunted my tribe since Gran-Gran was a little girl.  It was part of the Fire Nation's first attacks.
Aang,"Okay, back up. I have friends all over the world, even in the Fire Nation.  I've never seen any war."
Katara,"Aang, how long were you in that iceberg?"
Aang,"I don't know. A few days, maybe?"
Katara,I think it was more like a hundred years!
Aang,What?! That's impossible! Do I look like a hundred-twelve-year-old man to you?
Katara,"Think about it. The War is a century old. You don't know about it because, somehow, you were in there the whole time!  It's the only explanation."
Aang,A hundred years!  I can't believe it.
Katara,"I'm sorry, Aang. Maybe somehow there's a bright side to all this ..."
Aang,I did get to meet you.
Katara,"Come on, let's get out of here."
Katara,"Aang, let's head back, this place is creepy."
Aang,Huh?
Aang,What's that you said about booby traps?
Aang,Uh oh ...  Hold on tight!
Katara,Aaah!
Zuko,The last airbender!  Quite agile for his old age.  Wake my uncle! Tell him I found the Avatar.  As well as his hiding place ...
/wiki/Transcript:The_Avatar_Returns
Katara,"Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then, everything changed when the Fire Nation attacked. Only the Avatar, master of all four elements, could stop them, but when the world needed him most, he vanished. A hundred years passed, and my brother and I discovered the new Avatar, an airbender named Aang. And although his airbending skills are great, he has a lot to learn before he's ready to save anyone. But I believe Aang can save the world."
Village kids,Yay! Aang's back!
Sokka,"I knew it!  You signaled the Fire Navy with that flare! You're leading them straight to us, aren't you?"
Katara,Aang didn't do anything! It was an accident.
Aang,"Yeah. We were on the ship and there was this booby trap, and, well --  -- we booby-ed right into it."
Kanna,"Katara, you shouldn't have gone on that ship! Now we could all be in danger!"
Aang,Don't blame Katara. I brought her there. It's my fault.
Sokka,"Aha! The traitor confesses! Warriors, away from the enemy.  The foreigner is banished from our village."
Katara,"Sokka, you're making a mistake."
Sokka,"No, I'm keeping my promise to Dad.  I'm protecting you, from threats like him!"
Katara,Aang is not our enemy!  Don't you see? Aang's brought us something we haven't had in a long time: fun.
Sokka,Fun?! We can't fight firebenders with fun!
Aang,You should try it sometime.
Sokka,Get out of our village! Now!
Katara,"Grandmother, please. Don't let Sokka do this!"
Kanna,"Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves."
Katara,"Fine! Then I'm banished, too!  Come on Aang, let's go."
Sokka,Where do you think you're going?
Katara,To find a waterbender. Aang is taking me to the North Pole.
Aang,I am?  Great!
Sokka,Katara! Would you really choose him over your tribe?  Your own family?
Aang,"Katara, I don't want to come between you and your family."
Katara,"So, you're leaving the South Pole?  This is goodbye?"
Aang,Thanks for penguin sledding with me.
Katara,Where will you go?
